asset_id,timestamp,temperature_c,vibration_mm_s,partial_discharge_pc,oil_quality_index,label_failure_within_14d
SUB-003,2026-07-23T08:00:00,56.5,2.2,21.4,83.3,0
SUB-003,2026-07-24T08:00:00,56.3,2.94,20.6,87.0,0
SUB-003,2026-07-25T08:00:00,55.9,2.36,23.9,85.5,0
SUB-003,2026-07-26T08:00:00,59.6,1.71,20.3,87.1,0
SUB-003,2026-07-27T08:00:00,53.7,2.49,16.5,83.7,0
SUB-003,2026-07-28T08:00:00,55.9,2.83,19.4,87.1,0
SUB-003,2026-07-29T08:00:00,53.7,2.09,15.0,84.1,0
SUB-003,2026-07-30T08:00:00,58.4,2.04,22.8,84.9,0
SUB-003,2026-07-31T08:00:00,55.3,2.57,16.5,82.2,0
SUB-003,2026-08-01T08:00:00,59.8,2.22,12.0,85.4,0
SUB-003,2026-08-02T08:00:00,54.7,2.75,16.3,84.1,0
SUB-003,2026-08-03T08:00:00,53.2,1.63,16.4,82.4,0
SUB-003,2026-08-04T08:00:00,52.8,1.41,14.0,82.1,0
SUB-003,2026-08-05T08:00:00,54.4,1.78,14.8,86.2,0
SUB-003,2026-08-06T08:00:00,55.8,1.88,17.1,88.5,0
SUB-003,2026-08-07T08:00:00,56.6,2.25,10.7,84.0,0
SUB-003,2026-08-08T08:00:00,49.4,1.89,19.6,83.9,0
SUB-003,2026-08-09T08:00:00,57.5,1.65,20.2,82.2,0
SUB-003,2026-08-10T08:00:00,55.1,2.22,20.1,85.0,0
SUB-003,2026-08-11T08:00:00,61.7,1.89,17.1,79.7,0
SUB-003,2026-08-12T08:00:00,61.2,1.91,15.0,87.9,0
SUB-003,2026-08-13T08:00:00,59.6,2.1,14.2,86.1,0
SUB-003,2026-08-14T08:00:00,54.1,1.59,21.6,81.0,0
SUB-003,2026-08-15T08:00:00,57.6,2.24,24.6,85.9,0
SUB-003,2026-08-16T08:00:00,49.8,1.72,18.7,86.0,0
SUB-003,2026-08-17T08:00:00,58.9,1.27,17.5,87.2,0
SUB-003,2026-08-18T08:00:00,60.6,2.8,17.3,87.5,0
SUB-003,2026-08-19T08:00:00,61.1,2.53,20.7,86.9,0
SUB-003,2026-08-20T08:00:00,53.6,1.48,21.4,84.6,0
SUB-003,2026-08-21T08:00:00,55.8,1.82,17.3,85.7,0
SUB-003,2026-08-22T08:00:00,52.9,2.08,19.2,85.1,0
SUB-003,2026-08-23T08:00:00,53.7,2.37,24.1,84.1,0
SUB-003,2026-08-24T08:00:00,59.6,2.41,10.5,83.7,0
SUB-003,2026-08-25T08:00:00,54.0,2.37,19.1,86.2,0
SUB-003,2026-08-26T08:00:00,57.8,1.7,16.3,82.8,0
SUB-003,2026-08-27T08:00:00,55.4,2.01,19.0,83.8,0
SUB-003,2026-08-28T08:00:00,58.6,2.42,23.1,86.7,0
SUB-003,2026-08-29T08:00:00,56.5,2.32,20.3,84.0,0
SUB-003,2026-08-30T08:00:00,59.8,2.74,24.4,85.3,0
SUB-003,2026-08-31T08:00:00,56.9,2.22,18.5,86.5,0
SUB-003,2026-09-01T08:00:00,55.6,1.98,23.8,85.6,0
SUB-003,2026-09-02T08:00:00,56.1,2.41,18.9,85.9,0
SUB-003,2026-09-03T08:00:00,55.7,1.57,18.4,83.0,0
SUB-003,2026-09-04T08:00:00,56.6,1.58,21.2,86.8,0
SUB-003,2026-09-05T08:00:00,56.8,2.02,19.7,81.3,0
SUB-003,2026-09-06T08:00:00,52.6,2.0,19.5,85.1,0
SUB-003,2026-09-07T08:00:00,52.9,2.11,17.1,83.1,0
SUB-003,2026-09-08T08:00:00,56.9,1.97,22.1,86.6,0
SUB-003,2026-09-09T08:00:00,58.1,2.18,16.0,83.4,0
SUB-003,2026-09-10T08:00:00,51.5,3.21,15.3,84.8,0
SUB-003,2026-09-11T08:00:00,54.8,1.94,16.7,81.5,0
SUB-003,2026-09-12T08:00:00,52.9,1.5,18.1,83.9,0
TX-001,2026-06-15T08:00:00,54.2,2.13,13.1,89.6,0
TX-001,2026-06-16T08:00:00,55.2,2.14,10.8,89.1,0
TX-001,2026-06-17T08:00:00,55.1,2.21,15.8,87.4,0
TX-001,2026-06-18T08:00:00,57.0,1.89,18.8,89.6,0
TX-001,2026-06-19T08:00:00,57.8,1.57,11.5,86.4,0
TX-001,2026-06-20T08:00:00,55.6,2.23,12.1,90.1,0
TX-001,2026-06-21T08:00:00,56.3,1.24,13.4,82.6,0
TX-001,2026-06-22T08:00:00,54.1,1.83,13.0,87.1,0
TX-001,2026-06-23T08:00:00,55.1,1.81,19.3,90.2,0
TX-001,2026-06-24T08:00:00,52.9,2.55,9.9,86.1,0
TX-001,2026-06-25T08:00:00,60.9,1.15,16.5,85.3,0
TX-001,2026-06-26T08:00:00,55.9,1.97,19.9,86.1,0
TX-001,2026-06-27T08:00:00,56.1,2.3,14.0,86.1,0
TX-001,2026-06-28T08:00:00,56.1,2.08,17.5,85.9,0
TX-001,2026-06-29T08:00:00,55.0,2.18,14.3,87.4,0
TX-001,2026-06-30T08:00:00,56.3,1.77,12.4,88.6,0
TX-001,2026-07-01T08:00:00,53.0,2.51,15.5,85.2,0
TX-001,2026-07-02T08:00:00,57.2,2.11,17.1,90.1,0
TX-001,2026-07-03T08:00:00,55.2,1.76,13.0,85.8,0
TX-001,2026-07-04T08:00:00,54.1,2.16,14.8,86.8,0
TX-001,2026-07-05T08:00:00,54.1,2.19,13.3,85.7,0
TX-001,2026-07-06T08:00:00,55.9,1.94,11.6,89.4,0
TX-001,2026-07-07T08:00:00,58.8,2.06,15.2,88.8,0
TX-001,2026-07-08T08:00:00,56.2,2.4,19.8,87.9,0
TX-001,2026-07-09T08:00:00,57.6,2.4,13.8,85.5,0
TX-001,2026-07-10T08:00:00,59.0,1.42,20.2,89.5,0
TX-001,2026-07-11T08:00:00,56.9,2.07,20.1,85.9,0
TX-001,2026-07-12T08:00:00,52.8,1.81,14.0,85.7,0
TX-001,2026-07-13T08:00:00,56.8,2.1,12.4,91.0,0
TX-001,2026-07-14T08:00:00,52.1,1.54,15.9,87.3,0
TX-001,2026-07-15T08:00:00,57.6,1.8,11.7,86.5,0
TX-001,2026-07-16T08:00:00,54.3,2.26,13.4,89.3,0
TX-001,2026-07-17T08:00:00,58.1,2.46,17.5,89.3,0
TX-001,2026-07-18T08:00:00,58.6,1.84,14.0,84.1,0
TX-001,2026-07-19T08:00:00,57.2,1.78,16.0,88.8,0
TX-001,2026-07-20T08:00:00,52.3,1.64,13.8,86.7,0
TX-001,2026-07-21T08:00:00,56.8,1.58,14.9,84.4,0
TX-001,2026-07-22T08:00:00,49.8,2.33,10.9,86.6,0
TX-001,2026-07-23T08:00:00,52.1,1.48,13.6,86.9,0
TX-001,2026-07-24T08:00:00,59.3,2.23,14.0,89.3,0
TX-001,2026-07-25T08:00:00,59.7,2.21,13.6,89.8,0
TX-001,2026-07-26T08:00:00,61.6,2.31,20.1,89.6,0
TX-001,2026-07-27T08:00:00,58.9,1.61,11.5,87.7,0
TX-001,2026-07-28T08:00:00,51.3,1.81,17.4,86.4,0
TX-001,2026-07-29T08:00:00,57.9,1.51,13.3,89.8,0
TX-001,2026-07-30T08:00:00,56.9,2.16,19.9,90.4,0
TX-001,2026-07-31T08:00:00,53.7,2.57,13.0,87.7,0
TX-001,2026-08-01T08:00:00,56.4,2.48,11.4,88.7,0
TX-001,2026-08-02T08:00:00,57.9,2.37,14.2,89.8,0
TX-001,2026-08-03T08:00:00,54.2,2.51,15.9,85.0,0
TX-001,2026-08-04T08:00:00,58.7,2.4,15.9,84.4,0
TX-001,2026-08-05T08:00:00,57.1,1.83,22.6,83.1,0
TX-001,2026-08-06T08:00:00,56.2,2.95,19.9,86.2,0
TX-001,2026-08-07T08:00:00,63.2,2.48,15.8,85.7,0
TX-001,2026-08-08T08:00:00,61.6,2.61,16.2,85.6,0
TX-001,2026-08-09T08:00:00,61.6,2.35,23.5,79.2,0
TX-001,2026-08-10T08:00:00,59.2,2.64,20.7,79.1,0
TX-001,2026-08-11T08:00:00,59.7,3.6,25.2,80.6,0
TX-001,2026-08-12T08:00:00,65.9,3.42,26.4,78.7,0
TX-001,2026-08-13T08:00:00,69.0,4.22,32.5,77.7,0
TX-001,2026-08-14T08:00:00,68.3,3.46,33.4,74.0,0
TX-001,2026-08-15T08:00:00,66.7,4.3,32.0,72.2,1
TX-001,2026-08-16T08:00:00,70.6,4.27,36.6,67.8,1
TX-001,2026-08-17T08:00:00,66.7,5.38,37.7,65.2,1
TX-001,2026-08-18T08:00:00,68.7,5.69,41.3,62.0,1
TX-001,2026-08-19T08:00:00,69.9,5.85,45.1,59.8,1
TX-001,2026-08-20T08:00:00,75.2,5.91,54.4,57.9,1
TX-001,2026-08-21T08:00:00,72.6,6.6,45.7,59.6,1
TX-001,2026-08-22T08:00:00,81.4,6.63,50.8,55.2,1
TX-001,2026-08-23T08:00:00,77.0,7.58,54.7,52.9,1
TX-001,2026-08-24T08:00:00,82.4,7.66,54.9,52.1,1
TX-001,2026-08-25T08:00:00,78.6,7.04,56.0,51.7,1
TX-001,2026-08-26T08:00:00,72.3,7.86,56.2,53.6,1
TX-001,2026-08-27T08:00:00,79.0,7.68,59.8,51.5,1
TX-001,2026-08-28T08:00:00,80.7,8.98,56.6,50.5,1
TX-001,2026-08-29T08:00:00,86.5,7.73,56.7,44.9,0
TX-001,2026-08-30T08:00:00,82.9,8.3,62.0,45.1,0
TX-001,2026-08-31T08:00:00,84.3,8.53,59.5,47.8,0
TX-001,2026-09-01T08:00:00,83.3,8.19,61.7,45.6,0
TX-001,2026-09-02T08:00:00,80.8,7.56,61.7,48.8,0
TX-001,2026-09-03T08:00:00,81.0,8.17,55.1,49.5,0
TX-001,2026-09-04T08:00:00,79.9,8.1,63.1,46.2,0
TX-001,2026-09-05T08:00:00,84.9,8.1,59.9,48.9,0
TX-001,2026-09-06T08:00:00,77.6,8.28,60.0,49.8,0
TX-001,2026-09-07T08:00:00,80.7,7.9,60.9,47.6,0
TX-001,2026-09-08T08:00:00,77.8,7.97,63.6,47.6,0
TX-001,2026-09-09T08:00:00,78.7,8.33,54.2,43.5,0
TX-001,2026-09-10T08:00:00,81.3,8.12,60.5,46.0,0
TX-001,2026-09-11T08:00:00,80.9,7.49,60.5,44.5,0
TX-001,2026-09-12T08:00:00,80.9,8.15,54.5,46.7,0
TX-002,2026-06-15T08:00:00,56.3,3.49,10.2,85.4,0
TX-002,2026-06-16T08:00:00,50.2,2.33,19.5,86.0,0
TX-002,2026-06-17T08:00:00,51.5,2.96,16.6,85.1,0
TX-002,2026-06-18T08:00:00,60.7,3.11,5.7,84.1,0
TX-002,2026-06-19T08:00:00,51.7,2.79,14.8,83.4,0
TX-002,2026-06-20T08:00:00,50.7,3.41,16.5,83.4,0
TX-002,2026-06-21T08:00:00,56.0,3.14,18.5,82.6,0
TX-002,2026-06-22T08:00:00,56.3,2.63,18.2,84.3,0
TX-002,2026-06-23T08:00:00,47.1,2.88,9.4,84.3,0
TX-002,2026-06-24T08:00:00,53.8,2.71,10.3,82.5,0
TX-002,2026-06-25T08:00:00,51.4,2.77,18.6,86.1,0
TX-002,2026-06-26T08:00:00,52.5,3.38,10.6,86.1,0
TX-002,2026-06-27T08:00:00,53.4,2.96,16.6,83.3,0
TX-002,2026-06-28T08:00:00,56.3,2.86,22.0,84.1,0
TX-002,2026-06-29T08:00:00,57.7,3.13,11.2,87.4,0
TX-002,2026-06-30T08:00:00,50.8,1.98,17.3,86.8,0
TX-002,2026-07-01T08:00:00,54.1,2.76,19.5,86.1,0
TX-002,2026-07-02T08:00:00,52.0,3.16,11.0,83.6,0
